code,uiccode,irailid
685,8893054,BE.NMBS.008893054
686,8833258,BE.NMBS.008833258
692,8872587,BE.NMBS.008872587
699,8812161,BE.NMBS.008812161
700,8874559,BE.NMBS.008874559
701,8895067,BE.NMBS.008895067
704,8864816,BE.NMBS.008864816
705,8843224,BE.NMBS.008843224
706,8814332,BE.NMBS.008814332
707,8881190,BE.NMBS.008881190
708,8832003,BE.NMBS.008832003
715,8833001,BE.NMBS.008833001
719,8886348,BE.NMBS.008886348
720,8882339,BE.NMBS.008882339
723,8865003,BE.NMBS.008865003
724,8892205,BE.NMBS.008892205
725,8895836,BE.NMBS.008895836
726,8841004,BE.NMBS.008841004
728,8841558,BE.NMBS.008841558
730,8841525,BE.NMBS.008841525
732,8821600,BE.NMBS.008821600
733,8841673,BE.NMBS.008841673
736,8872520,BE.NMBS.008872520
738,8814241,BE.NMBS.008814241
739,8811635,BE.NMBS.008811635
742,8814142,BE.NMBS.008814142
743,8891629,BE.NMBS.008891629
744,8871712,BE.NMBS.008871712
747,8872306,BE.NMBS.008872306
748,8894201,BE.NMBS.008894201
750,8832565,BE.NMBS.008832565
751,8822111,BE.NMBS.008822111
752,8866258,BE.NMBS.008866258
754,8861416,BE.NMBS.008861416
759,8814357,BE.NMBS.008814357
762,8811676,BE.NMBS.008811676
764,8821063,BE.NMBS.008821063
767,8863156,BE.NMBS.008863156
768,8871308,BE.NMBS.008871308
781,8822137,BE.NMBS.008822137
782,8886041,BE.NMBS.008886041
784,8882701,BE.NMBS.008882701
786,8866175,BE.NMBS.008866175
788,8864410,BE.NMBS.008864410
789,8863461,BE.NMBS.008863461
790,8883220,BE.NMBS.008883220
791,8871100,BE.NMBS.008871100
793,8871852,BE.NMBS.008871852
797,8891132,BE.NMBS.008891132
798,8875002,BE.NMBS.008875002
801,8864345,BE.NMBS.008864345
805,8881174,BE.NMBS.008881174
807,8885530,BE.NMBS.008885530
809,8861333,BE.NMBS.008861333
810,8822004,BE.NMBS.008822004
811,8822343,BE.NMBS.008822343
812,8811171,BE.NMBS.008811171
814,8821824,BE.NMBS.008821824
815,8893039,BE.NMBS.008893039
818,8864436,BE.NMBS.008864436
819,8894755,BE.NMBS.008894755
820,8896305,BE.NMBS.008896305
821,8812120,BE.NMBS.008812120
822,8893013,BE.NMBS.008893013
824,8814464,BE.NMBS.008814464
825,8844644,BE.NMBS.008844644
826,8811197,BE.NMBS.008811197
827,8842648,BE.NMBS.008842648
832,8886058,BE.NMBS.008886058
835,8841665,BE.NMBS.008841665
837,8814431,BE.NMBS.008814431
840,8832409,BE.NMBS.008832409
841,8812112,BE.NMBS.008812112
