station_name_nmbs,station_uic,avg_week,avg_sat,avg_sun
MARBEHAN,8866175,388,187,605
MARCHE-EN-FAMENNE,8864410,265,88,125
MARCHE-LES-DAMES,8863461,45,6,7
MARCHE-LEZ-ECAUSSINNES,8883220,93,-,-
MARCHIENNE-AU-PONT,8871100,1.086,408,403
MARCHIENNE-ZONE,8871852,20,9,3
MARIA-AALTER,8891132,130,38,52
MARIEMBOURG,8875002,142,60,61
MARLOIE,8864345,1.182,630,701
MASNUY-SAINT-PIERRE,8881174,19,-,-
MAUBRAY,8885530,19,-,-
MAZY,8861333,36,-,-
MECHELEN,8822004,10.731,5.669,4.522
MECHELEN-NEKKERSPOEL,8822343,1.378,849,657
MEISER,8811171,490,77,59
MELKOUWEN,8821824,99,56,51
MELLE,8893039,592,114,131
MELREUX-HOTTON,8864436,205,91,117
MELSELE,8894755,115,223,101
MENEN,8896305,704,346,285
MERCHTEM,8812120,494,160,105
MERELBEKE,8893013,509,148,126
MERODE,8811197,270,-,-
MERY,8842648,63,22,20
MESSANCY,8866662,86,-,-
MEVERGNIES-ATTRE,8886058,56,-,-
MILMORT,8841665,218,58,65
MOENSBERG,8814431,352,54,47
MOL,8832409,1.611,1.045,873
MOLLEM,8812112,170,59,58
MOMALLE,8841459,93,12,15
MONS,8881000,6.475,2.328,1.913
MONT-SAINT-GUIBERT,8861549,358,85,36
MOORTSELE,8893062,81,31,30
MORLANWELZ,8882230,247,39,25
MORTSEL,8821147,337,102,47
MORTSEL-DEURNESTEENWEG,8821154,-,-,18
MORTSEL-LIERSESTEENWEG,8821246,118,78,-
MORTSEL-OUDE-GOD,8821238,510,328,306
MOUSCRON/MOESKROEN,8885704,1.416,728,849
MOUSTIER,8861150,160,65,53
MUIZEN,8822426,101,47,46
MUNKZWALM,8895232,178,71,53
NAMECHE,8863453,98,11,15
NAMUR,8863008,14.126,6.157,4.474
NANINNE,8864964,133,25,17
NATOYE,8864915,129,64,35
NEERPELT,8832615,232,72,200
NEERWINDEN,8833670,95,127,109
NESSONVAUX,8844230,202,131,88
NEUFCHATEAU,8866258,88,17,20
NEUFVILLES,8883121,34,-,-
NIEL,8824240,188,113,94
NIEUWKERKEN-WAAS,8894714,136,25,19
NIJLEN,8821667,414,176,175
NIMY,8881315,67,30,18
NINOVE,8895760,988,126,113
NIVELLES,8814209,3.558,1.209,924
NOORDERKEMPEN,8821105,550,225,409
NOSSEGEM,8811247,205,103,71
OBAIX-BUZET,8871332,112,-,-
OBOURG,8881406,27,-,-
OKEGEM,8895778,162,43,41
OLEN,8832458,371,137,140
OOSTENDE,8891702,4.409,3.593,3.701
OOSTKAMP,8891116,104,45,28
OPWIJK,8812146,613,154,151
OTTIGNIES,8811601,19.789,8.579,8.060
OUDEGEM,8893518,105,-,-
OUDENAARDE,8892601,1.754,871,571
OUD-HEVERLEE,8833134,88,19,41
OUGREE,8843174,61,20,31
OVERPELT,8832573,174,44,69
PALISEUL,8865540,53,37,35
PAPIGNIES,8886561,63,20,14
PECROT,8811775,173,44,34
PEPINSTER,8844206,832,228,337
PEPINSTER-CITE,8844313,55,8,10
PERUWELZ,8884855,588,141,163
PHILIPPEVILLE,8873122,336,50,59
PIETON,8871415,85,24,9
POIX-SAINT-HUBERT,8865227,28,9,24
PONT-A-CELLES,8871365,54,19,19
PONT-DE-SERAING,8843141,130,24,5
POPERINGE,8896735,450,196,321
POULSEUR,8842689,139,49,38
PROFONDSART,8811544,110,72,78
PRY,8873312,19,-,-
PUURS,8822715,1.003,484,467
QUAREGNON,8884541,375,161,126
QUEVY,8881505,128,-,-
QUIEVRAIN,8884335,261,146,111
REBAIX,8886587,76,19,19
REMICOURT,8841442,130,29,30
RHISNES,8861440,147,47,17
RIVAGE,8842705,127,43,51
RIXENSART,8811536,863,215,247
ROCHEFORT-JEMELLE,8864006,444,448,443
